visit_date,year,weekday,account_number
2019-02-09T13:00:00Z,2019,Saturday,C0121
2019-02-09T13:00:00Z,2019,Saturday,C0020
2019-02-09T13:00:00Z,2019,Saturday,C0021
2019-02-09T13:00:00Z,2019,Saturday,C0023
2019-02-09T13:00:00Z,2019,Saturday,C0025
2019-02-09T13:00:00Z,2019,Saturday,C0031
2019-02-09T13:00:00Z,2019,Saturday,C0032
2019-02-09T13:00:00Z,2019,Saturday,C0033
2019-02-09T13:00:00Z,2019,Saturday,C0071
2019-02-09T13:00:00Z,2019,Saturday,C0080
2019-02-09T13:00:00Z,2019,Saturday,C0091
2019-02-09T13:00:00Z,2019,Saturday,C0092
2019-02-09T13:00:00Z,2019,Saturday,C0098
2019-02-09T13:00:00Z,2019,Saturday,C0101
2019-02-09T13:00:00Z,2019,Saturday,C0108
2019-02-09T13:00:00Z,2019,Saturday,C0112
2019-02-09T13:00:00Z,2019,Saturday,C0113
2019-02-09T13:00:00Z,2019,Saturday,C0114
2019-02-09T13:00:00Z,2019,Saturday,C0131
2019-02-09T13:00:00Z,2019,Saturday,C0132
2019-02-09T13:00:00Z,2019,Saturday,C0133
2019-02-09T13:00:00Z,2019,Saturday,C0144
2019-02-09T13:00:00Z,2019,Saturday,C0178
2019-02-09T13:00:00Z,2019,Saturday,C0182
2019-02-09T13:00:00Z,2019,Saturday,C0193
2019-02-09T13:00:00Z,2019,Saturday,C0203
2019-02-09T13:00:00Z,2019,Saturday,C0213
2019-02-09T13:00:00Z,2019,Saturday,C0215
2019-02-09T13:00:00Z,2019,Saturday,C0216
2019-02-09T13:00:00Z,2019,Saturday,C0243
2019-02-09T13:00:00Z,2019,Saturday,C0256
2019-02-09T13:00:00Z,2019,Saturday,C0258
2019-02-09T13:00:00Z,2019,Saturday,C0263
2019-02-09T13:00:00Z,2019,Saturday,C0269
2019-02-09T13:00:00Z,2019,Saturday,C0277
2019-02-09T13:00:00Z,2019,Saturday,C0280
2019-02-09T13:00:00Z,2019,Saturday,C0296
2019-02-09T13:00:00Z,2019,Saturday,C0304
2019-02-09T13:00:00Z,2019,Saturday,C0308
2019-02-09T13:00:00Z,2019,Saturday,C0310
2019-02-09T13:00:00Z,2019,Saturday,C0314
2019-02-09T13:00:00Z,2019,Saturday,C0326
2019-02-09T13:00:00Z,2019,Saturday,C0336
2019-02-09T13:00:00Z,2019,Saturday,C0341
2019-02-09T13:00:00Z,2019,Saturday,C0355
2019-02-09T13:00:00Z,2019,Saturday,C0356
2019-02-09T13:00:00Z,2019,Saturday,C0361
2019-02-09T13:00:00Z,2019,Saturday,C0365
2019-02-09T13:00:00Z,2019,Saturday,C0387
2019-02-09T13:00:00Z,2019,Saturday,C0393
2019-02-09T13:00:00Z,2019,Saturday,C0451
2019-02-09T13:00:00Z,2019,Saturday,C0452
2019-02-09T13:00:00Z,2019,Saturday,C0454
2019-02-09T13:00:00Z,2019,Saturday,C0462
2019-02-09T13:00:00Z,2019,Saturday,C0478
2019-02-09T13:00:00Z,2019,Saturday,C0488
2019-02-09T13:00:00Z,2019,Saturday,C0493
2019-02-09T13:00:00Z,2019,Saturday,C0494
2019-02-09T13:00:00Z,2019,Saturday,C0496
2019-02-09T13:00:00Z,2019,Saturday,C0497
2019-02-09T13:00:00Z,2019,Saturday,C0498
2019-02-09T13:00:00Z,2019,Saturday,C0514
2019-02-09T13:00:00Z,2019,Saturday,C0519
2019-02-09T13:00:00Z,2019,Saturday,C0572
2019-02-09T13:00:00Z,2019,Saturday,C0574
2019-02-09T13:00:00Z,2019,Saturday,C0583
2019-02-09T13:00:00Z,2019,Saturday,C0586
2019-02-09T13:00:00Z,2019,Saturday,C0590
2019-02-09T13:00:00Z,2019,Saturday,C0608
2019-02-09T13:00:00Z,2019,Saturday,C0609
2019-02-09T13:00:00Z,2019,Saturday,C0623
2019-02-09T13:00:00Z,2019,Saturday,C0626
2019-02-09T13:00:00Z,2019,Saturday,C0631
2019-02-09T13:00:00Z,2019,Saturday,C0634
2019-02-09T13:00:00Z,2019,Saturday,C0640
2019-02-09T13:00:00Z,2019,Saturday,C0648
2019-02-09T13:00:00Z,2019,Saturday,C0660
2019-02-09T13:00:00Z,2019,Saturday,C0662
2019-02-09T13:00:00Z,2019,Saturday,C0663
2019-02-09T13:00:00Z,2019,Saturday,C0668
2019-02-09T13:00:00Z,2019,Saturday,C0669
2019-02-09T13:00:00Z,2019,Saturday,C0690
2019-02-09T13:00:00Z,2019,Saturday,C0700
2019-02-09T13:00:00Z,2019,Saturday,C0711
2019-02-09T13:00:00Z,2019,Saturday,C0717
2019-02-12T13:00:00Z,2019,Tuesday,C0005
2019-02-12T13:00:00Z,2019,Tuesday,C0028
2019-02-12T13:00:00Z,2019,Tuesday,C0062
2019-02-12T13:00:00Z,2019,Tuesday,C0068
2019-02-12T13:00:00Z,2019,Tuesday,C0073
2019-02-12T13:00:00Z,2019,Tuesday,C0081
2019-02-12T13:00:00Z,2019,Tuesday,C0106
2019-02-12T13:00:00Z,2019,Tuesday,C0116
2019-02-12T13:00:00Z,2019,Tuesday,C0135
2019-02-12T13:00:00Z,2019,Tuesday,C0148
2019-02-12T13:00:00Z,2019,Tuesday,C0149
2019-02-12T13:00:00Z,2019,Tuesday,C0152
2019-02-12T13:00:00Z,2019,Tuesday,C0161
2019-02-12T13:00:00Z,2019,Tuesday,C0168
2019-02-12T13:00:00Z,2019,Tuesday,C0202
2019-02-12T13:00:00Z,2019,Tuesday,C0221
2019-02-12T13:00:00Z,2019,Tuesday,C0237
2019-02-12T13:00:00Z,2019,Tuesday,C0245
2019-02-12T13:00:00Z,2019,Tuesday,C0248
2019-02-12T13:00:00Z,2019,Tuesday,C0248
2019-02-12T13:00:00Z,2019,Tuesday,C0266
2019-02-12T13:00:00Z,2019,Tuesday,C0288
2019-02-12T13:00:00Z,2019,Tuesday,C0292
2019-02-12T13:00:00Z,2019,Tuesday,C0302
2019-02-12T13:00:00Z,2019,Tuesday,C0311
2019-02-12T13:00:00Z,2019,Tuesday,C0313
2019-02-12T13:00:00Z,2019,Tuesday,C0322
2019-02-12T13:00:00Z,2019,Tuesday,C0333
2019-02-12T13:00:00Z,2019,Tuesday,C0340
2019-02-12T13:00:00Z,2019,Tuesday,C0369
2019-02-12T13:00:00Z,2019,Tuesday,C0371
2019-02-12T13:00:00Z,2019,Tuesday,C0374
2019-02-12T13:00:00Z,2019,Tuesday,C0376
2019-02-12T13:00:00Z,2019,Tuesday,C0381
2019-02-12T13:00:00Z,2019,Tuesday,C0382
2019-02-12T13:00:00Z,2019,Tuesday,C0384
2019-02-12T13:00:00Z,2019,Tuesday,C0407
2019-02-12T13:00:00Z,2019,Tuesday,C0408
2019-02-12T13:00:00Z,2019,Tuesday,C0411
2019-02-12T13:00:00Z,2019,Tuesday,C0415
2019-02-12T13:00:00Z,2019,Tuesday,C0437
2019-02-12T13:00:00Z,2019,Tuesday,C0448
2019-02-12T13:00:00Z,2019,Tuesday,C0449
2019-02-12T13:00:00Z,2019,Tuesday,C0465
2019-02-12T13:00:00Z,2019,Tuesday,C0467
2019-02-12T13:00:00Z,2019,Tuesday,C0468
2019-02-12T13:00:00Z,2019,Tuesday,C0473
2019-02-12T13:00:00Z,2019,Tuesday,C0474
2019-02-12T13:00:00Z,2019,Tuesday,C0479
2019-02-12T13:00:00Z,2019,Tuesday,C0507
2019-02-12T13:00:00Z,2019,Tuesday,C0511
2019-02-12T13:00:00Z,2019,Tuesday,C0522
2019-02-12T13:00:00Z,2019,Tuesday,C0537
2019-02-12T13:00:00Z,2019,Tuesday,C0579
2019-02-12T13:00:00Z,2019,Tuesday,C0587
2019-02-12T13:00:00Z,2019,Tuesday,C0601
2019-02-12T13:00:00Z,2019,Tuesday,C0604
2019-02-12T13:00:00Z,2019,Tuesday,C0612
2019-02-12T13:00:00Z,2019,Tuesday,C0618
2019-02-12T13:00:00Z,2019,Tuesday,C0619
2019-02-12T13:00:00Z,2019,Tuesday,C0625
2019-02-12T13:00:00Z,2019,Tuesday,C0632
2019-02-12T13:00:00Z,2019,Tuesday,C0665
2019-02-12T13:00:00Z,2019,Tuesday,C0671
2019-02-12T13:00:00Z,2019,Tuesday,C0675
2019-02-12T13:00:00Z,2019,Tuesday,C0676
2019-02-12T13:00:00Z,2019,Tuesday,C0691
2019-02-12T13:00:00Z,2019,Tuesday,C0694
2019-02-12T13:00:00Z,2019,Tuesday,C0696
2019-02-12T13:00:00Z,2019,Tuesday,C0702
2019-02-12T13:00:00Z,2019,Tuesday,C0709
2019-02-12T13:00:00Z,2019,Tuesday,C0718
2019-02-12T13:00:00Z,2019,Tuesday,C0720
2019-03-09T13:00:00Z,2019,Saturday,C0305
2019-03-09T13:00:00Z,2019,Saturday,C0121
2019-03-09T13:00:00Z,2019,Saturday,C0007
2019-03-09T13:00:00Z,2019,Saturday,C0018
2019-03-09T13:00:00Z,2019,Saturday,C0021
2019-03-09T13:00:00Z,2019,Saturday,C0026
2019-03-09T13:00:00Z,2019,Saturday,C0031
2019-03-09T13:00:00Z,2019,Saturday,C0032
2019-03-09T13:00:00Z,2019,Saturday,C0033
2019-03-09T13:00:00Z,2019,Saturday,C0034
2019-03-09T13:00:00Z,2019,Saturday,C0043
2019-03-09T13:00:00Z,2019,Saturday,C0053
2019-03-09T13:00:00Z,2019,Saturday,C0054
2019-03-09T13:00:00Z,2019,Saturday,C0065
2019-03-09T13:00:00Z,2019,Saturday,C0070
2019-03-09T13:00:00Z,2019,Saturday,C0071
2019-03-09T13:00:00Z,2019,Saturday,C0072
2019-03-09T13:00:00Z,2019,Saturday,C0073
2019-03-09T13:00:00Z,2019,Saturday,C0080
2019-03-09T13:00:00Z,2019,Saturday,C0081
2019-03-09T13:00:00Z,2019,Saturday,C0092
2019-03-09T13:00:00Z,2019,Saturday,C0098
2019-03-09T13:00:00Z,2019,Saturday,C0100
2019-03-09T13:00:00Z,2019,Saturday,C0101
2019-03-09T13:00:00Z,2019,Saturday,C0119
2019-03-09T13:00:00Z,2019,Saturday,C0131
2019-03-09T13:00:00Z,2019,Saturday,C0133
2019-03-09T13:00:00Z,2019,Saturday,C0134
2019-03-09T13:00:00Z,2019,Saturday,C0144
2019-03-09T13:00:00Z,2019,Saturday,C0169
2019-03-09T13:00:00Z,2019,Saturday,C0178
2019-03-09T13:00:00Z,2019,Saturday,C0193
2019-03-09T13:00:00Z,2019,Saturday,C0207
2019-03-09T13:00:00Z,2019,Saturday,C0214
2019-03-09T13:00:00Z,2019,Saturday,C0215
2019-03-09T13:00:00Z,2019,Saturday,C0216
2019-03-09T13:00:00Z,2019,Saturday,C0224
2019-03-09T13:00:00Z,2019,Saturday,C0226
2019-03-09T13:00:00Z,2019,Saturday,C0227
2019-03-09T13:00:00Z,2019,Saturday,C0229
2019-03-09T13:00:00Z,2019,Saturday,C0230
2019-03-09T13:00:00Z,2019,Saturday,C0245
2019-03-09T13:00:00Z,2019,Saturday,C0267
2019-03-09T13:00:00Z,2019,Saturday,C0269
2019-03-09T13:00:00Z,2019,Saturday,C0277
2019-03-09T13:00:00Z,2019,Saturday,C0280
2019-03-09T13:00:00Z,2019,Saturday,C0288
2019-03-09T13:00:00Z,2019,Saturday,C0294
2019-03-09T13:00:00Z,2019,Saturday,C0296
2019-03-09T13:00:00Z,2019,Saturday,C0304
2019-03-09T13:00:00Z,2019,Saturday,C0310
2019-03-09T13:00:00Z,2019,Saturday,C0314
2019-03-09T13:00:00Z,2019,Saturday,C0326
2019-03-09T13:00:00Z,2019,Saturday,C0336
2019-03-09T13:00:00Z,2019,Saturday,C0341
2019-03-09T13:00:00Z,2019,Saturday,C0361
2019-03-09T13:00:00Z,2019,Saturday,C0373
2019-03-09T13:00:00Z,2019,Saturday,C0387
2019-03-09T13:00:00Z,2019,Saturday,C0409
2019-03-09T13:00:00Z,2019,Saturday,C0435
2019-03-09T13:00:00Z,2019,Saturday,C0442
2019-03-09T13:00:00Z,2019,Saturday,C0450
